City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
293,Sembakung,ID,2020-11-19 05:39:10,3.82,117.25,87.22,73,98,2.13
294,Northport,US,2020-11-19 05:37:43,33.23,-87.58,44.01,81,1,3.36
295,Mount Gambier,AU,2020-11-19 05:39:11,-37.83,140.77,93.2,15,71,24.16
296,Manado,ID,2020-11-19 05:39:11,1.49,124.85,93.2,49,20,3.36
297,Saldanha,ZA,2020-11-19 05:39:11,-33.01,17.94,62.6,63,0,9.17
298,Esperance,AU,2020-11-19 05:39:11,-33.87,121.9,69.8,68,4,20.8
299,Turukhansk,RU,2020-11-19 05:39:12,65.82,87.98,8.98,95,100,12.93
300,Menongue,AO,2020-11-19 05:39:12,-14.66,17.69,67.66,83,98,2.51
301,Cherdyn,RU,2020-11-19 05:39:12,60.4,56.48,20.68,92,74,12.03
302,Shirvan,AZ,2020-11-19 05:39:13,39.95,48.9,42.57,63,100,21.88
303,Makat,KZ,2020-11-19 05:39:13,47.65,53.35,23.11,77,48,2.66
304,Dukat,RU,2020-11-19 05:39:13,62.55,155.55,-13.9,88,100,7.16
305,Longyearbyen,SJ,2020-11-19 05:39:13,78.22,15.64,15.8,72,40,8.05
